Timestamp,Building,Floor,Range Number,Section Number,Shelf Number,Call No. Leading Alpha ,Call No. Leading Numeric,Call No. Ending Alpha ,Call No. Ending Numeric,Occupied Space,Stacked
5/22/2017 17:35:31,ZIM,2,2,14,5,AE,61,AE,65,31,No
5/22/2017 17:36:10,ZIM,2,2,14,6,AE,65,AE,69,31,No
5/22/2017 17:37:42,ZIM,2,3,1,1,AE,65,AE,65,31,No
5/22/2017 17:38:33,ZIM,2,3,1,2,AE,65,AE,65,30,No
5/22/2017 17:40:21,ZIM,2,3,1,3,AG,5,AG,8,32,No
5/22/2017 17:40:48,ZIM,2,3,1,4,AG,5,AG,5,31,No
5/22/2017 17:41:09,ZIM,2,3,1,5,AG,5,AG,5,32,No
5/22/2017 17:41:30,ZIM,2,3,1,6,AG,5,AG,25,31,No
5/22/2017 17:42:20,ZIM,2,3,2,1,AG,25,AG,27,33,No
5/22/2017 17:42:45,ZIM,2,3,2,2,AG,27,AG,61,31,No
5/22/2017 17:43:25,ZIM,2,3,2,3,AG,61,AG,105,32,No
5/22/2017 17:44:02,ZIM,2,3,2,4,AG,105,AG,106,33,No
5/22/2017 17:50:49,ZIM,2,3,2,5,AG,125,AG,243,30,No
5/22/2017 17:51:17,ZIM,2,3,2,6,AG,243,AI,6,31,No
5/22/2017 17:51:55,ZIM,2,3,3,1,AI,15,AM,5,33,No
5/22/2017 17:52:15,ZIM,2,3,3,2,AM,5,AM,7,30,No
5/22/2017 17:52:32,ZIM,2,3,3,3,AM,7,AM,7,32,No
5/22/2017 17:52:55,ZIM,2,3,3,4,AM,7,AM,7,35,No
5/22/2017 17:53:22,ZIM,2,3,3,5,AM,7,AM,11,35,No
5/22/2017 17:53:41,ZIM,2,3,3,6,AM,11,AM,24,35,No
5/22/2017 17:54:01,ZIM,2,3,4,1,AM,24,AM,43,34,No
5/22/2017 17:54:18,ZIM,2,3,4,2,AM,49,AM,101,35,No
5/22/2017 17:54:58,ZIM,2,3,4,3,AM,101,AM,101,31,No
5/22/2017 17:55:22,ZIM,2,3,4,4,AM,121,AM,141,32,No
5/22/2017 17:55:45,ZIM,2,3,4,5,AM,121,AM,141,32,No
5/22/2017 17:56:04,ZIM,2,3,4,6,AM,141,AM,151,35,No
5/22/2017 17:56:23,ZIM,2,3,5,1,AP,157,AP,2,32,No
5/22/2017 17:56:44,ZIM,2,3,5,2,AP,2,AP,3,35,No
5/22/2017 17:57:02,ZIM,2,3,5,3,AP,3,AP,3,32,No
5/22/2017 17:57:27,ZIM,2,3,5,4,AP,20,AP,63,31,No
5/22/2017 17:57:43,ZIM,2,3,5,5,AP,63,AP,66,31,No
5/22/2017 17:58:16,ZIM,2,3,5,6,AP,66,AS,1,31,No
5/22/2017 17:58:39,ZIM,2,3,6,1,AS,4,AS,8,33,No
5/22/2017 17:59:32,ZIM,2,3,6,2,AS,8,AS,36,33,No
5/22/2017 17:59:54,ZIM,2,3,6,3,AS,36,AS,36,34,No
5/22/2017 18:00:10,ZIM,2,3,6,4,AS,34,AS,34,30,No
5/24/2017 13:59:46,ZIM,2,3,6,5,AS,36,AS,36,33,No
5/24/2017 14:10:33,ZIM,2,3,6,6,AS,36,AS,36,30,No
5/24/2017 14:28:44,ZIM,2,3,7,1,AS,40,AS,78,31,No
5/24/2017 14:32:14,ZIM,2,3,7,2,AS,78,AS,89,32,No
5/24/2017 14:34:35,ZIM,2,3,7,3,AS,90,AS,162,32,No
5/24/2017 14:35:19,ZIM,2,3,7,4,AS,162,AS,178,32,No
5/24/2017 14:36:05,ZIM,2,3,7,5,AS,178,AS,182,31,No
5/24/2017 14:40:49,ZIM,2,3,7,6,AS,182,AS,244,31,No
5/24/2017 14:42:09,ZIM,2,3,8,1,AS,244,AS,284,30,No
5/24/2017 14:43:07,ZIM,2,3,8,2,AS,284,AS,301,31,No
5/24/2017 14:44:20,ZIM,2,3,8,3,AS,301,AS,322,34,No
5/24/2017 14:49:04,ZIM,2,3,8,4,AS,322,AS,346,30,No
5/24/2017 14:52:10,ZIM,2,3,8,5,AS,346,AS,472,32,No
5/24/2017 14:52:51,ZIM,2,3,8,6,AS,472,AS,911,32,No
5/24/2017 14:53:55,ZIM,2,3,9,1,AS,911,AS,911,20,No
5/24/2017 14:54:25,ZIM,2,3,9,2,AS,911,AY,144,20,No
5/24/2017 14:55:46,ZIM,2,3,9,3,AY,64,AY,831,29,No
5/24/2017 14:56:22,ZIM,2,3,9,4,AY,854,AZ,103,33,No
5/24/2017 14:57:06,ZIM,2,3,9,5,AZ,103,AZ,106,32,No
5/24/2017 14:58:00,ZIM,2,3,9,6,AZ,108,AZ,188,34,No
5/24/2017 15:00:00,ZIM,2,3,10,1,AZ,188,AZ,222,32,No
5/24/2017 15:03:38,ZIM,2,3,10,2,AZ,222,AZ,361,32,No
5/24/2017 15:04:22,ZIM,2,3,10,3,AZ,361,AZ,746,32,No
5/24/2017 15:07:35,ZIM,2,3,10,4,AZ,771,AZ,999,18,No
5/24/2017 15:08:08,ZIM,2,3,10,5,,,,,,No
5/24/2017 15:08:38,ZIM,2,3,10,6,,,,,,No
5/24/2017 15:09:06,ZIM,2,3,11,1,,,,,,No
5/24/2017 15:09:37,ZIM,2,3,11,2,,,,,,No
5/24/2017 14:16:31,ZIM,2,3,11,3,,,,,,No
5/24/2017 14:22:44,ZIM,2,3,11,4,,,,,,No
5/24/2017 14:24:01,ZIM,2,3,11,5,,,,,,No
5/24/2017 14:57:17,ZIM,2,3,11,6,,,,,,No
,ZIM,2,3,12,1,,,,,,No
5/24/2017 15:05:00,ZIM,2,3,12,2,,,,,,No
5/24/2017 15:05:26,ZIM,2,3,12,3,,,,,,No
5/24/2017 15:07:22,ZIM,2,3,12,4,,,,,,No
5/24/2017 15:07:50,ZIM,2,3,12,5,,,,,,No
5/24/2017 15:09:50,ZIM,2,3,12,6,,,,,,No
5/24/2017 14:13:22,ZIM,2,4,4,1,B,29,B,29,31,No
5/24/2017 14:14:18,ZIM,2,4,4,2,B,29,B,29,30,No
5/24/2017 14:15:07,ZIM,2,4,4,3,B,29,B,29,32,No
5/24/2017 14:16:33,ZIM,2,4,4,4,B,29,B,35,31,No
5/24/2017 14:19:20,ZIM,2,4,4,5,B,40,B,41,35,No
5/24/2017 14:20:15,ZIM,2,4,4,6,B,41,B,42,30,No
,ZIM,2,4,5,1,B,42,B,45,27,No
5/24/2017 14:21:59,ZIM,2,4,5,2,B,45,B,51,34,No
5/24/2017 14:22:38,ZIM,2,4,5,3,B,51,B,51.8,26,No
5/24/2017 14:24:53,ZIM,2,4,5,4,B,51.8,B,53,32,No
5/24/2017 14:25:28,ZIM,2,4,5,5,B,53,B,53,32,No
5/24/2017 14:26:10,ZIM,2,4,5,6,B,53,B,54,32,No
5/24/2017 14:26:41,ZIM,2,4,6,1,B,56,B,63,30,No
5/24/2017 14:27:04,ZIM,2,4,6,2,B,63,B,65,34,No
5/24/2017 14:27:35,ZIM,2,4,6,3,B,65,B,65,32,No
5/24/2017 14:28:08,ZIM,2,4,6,4,B,65,B,67,31,No
5/24/2017 14:28:46,ZIM,2,4,6,5,B,67,B,72,34,No
5/24/2017 14:29:35,ZIM,2,4,6,6,B,72,B,72,27,No
5/24/2017 14:33:21,ZIM,2,4,7,1,B,72,B,72,33,No
5/24/2017 14:33:45,ZIM,2,4,7,2,B,72,B,72,29,No
5/24/2017 14:34:17,ZIM,2,4,7,3,B,72,B,72,32,No
5/24/2017 14:34:41,ZIM,2,4,7,4,B,72,B,73,33,No
5/24/2017 14:35:06,ZIM,2,4,7,5,B,73,B,77,31,No
5/24/2017 14:35:35,ZIM,2,4,7,6,B,77,B,77,28,No
5/24/2017 14:36:03,ZIM,2,4,8,1,B,77,B,82,30,No
5/24/2017 14:36:24,ZIM,2,4,8,2,B,82,B,87,29,No
5/24/2017 14:36:47,ZIM,2,4,8,3,B,92,B,92,31,No
5/24/2017 14:37:05,ZIM,2,4,8,4,B,92,B,99,29,No
5/24/2017 14:41:49,ZIM,2,4,8,5,B,99,B,105,34,No
5/24/2017 14:45:40,ZIM,2,4,8,6,B,105,B,105,35,No
5/24/2017 14:46:10,ZIM,2,4,9,1,B,105,B,105,35,No
5/24/2017 14:46:38,ZIM,2,4,9,2,B,105,B,105,32,No
5/24/2017 14:47:12,ZIM,3,4,9,3,B,105,B,105,28,No
5/24/2017 14:47:35,ZIM,2,4,9,4,B,105,B,105,32,No
5/24/2017 14:47:58,ZIM,2,4,9,5,B,105,B,105,31,No
5/24/2017 14:48:34,ZIM,2,4,9,6,B,105,B,105,31,No
5/24/2017 14:49:01,ZIM,2,4,10,1,B,105,B,105,33,No
5/24/2017 14:49:25,ZIM,2,4,10,2,B,105,B,105,35,No
5/24/2017 14:50:07,ZIM,2,4,10,3,B,105,B,105,31,No
5/24/2017 14:50:36,ZIM,2,4,10,4,B,105,B,111,34,No
5/24/2017 14:51:00,ZIM,2,4,10,5,B,111,B,121,30,No
5/24/2017 14:51:30,ZIM,2,4,10,6,B,121,B,126,33,No
5/24/2017 14:52:13,ZIM,2,4,11,1,B,126,B,126,30,No
5/24/2017 14:52:32,ZIM,2,4,11,2,B,126,B,128,32,No
5/24/2017 14:52:53,ZIM,2,4,11,3,B,126,B,128,31,No
5/24/2017 14:53:15,ZIM,2,4,11,4,B,128,B,128,32,No
5/24/2017 14:53:37,ZIM,2,4,11,5,B,128,B,131,35,No
5/24/2017 14:54:04,ZIM,2,4,11,6,B,131,B,131,27,No
5/24/2017 14:54:30,ZIM,2,4,12,1,B,131,B,131,32,No
5/24/2017 14:56:00,ZIM,2,4,12,2,B,131,B,131,25,No
5/24/2017 14:56:23,ZIM,2,4,12,3,B,131,B,132,28,No
5/24/2017 14:56:44,ZIM,2,4,12,4,B,132,B,132,29,No
5/24/2017 14:57:12,ZIM,2,4,12,5,B,132,B,132,35,No
5/24/2017 14:57:34,ZIM,2,4,12,6,B,132,B,132,30,No
5/24/2017 14:57:59,ZIM,2,4,13,1,B,132,B,132,21,No
5/24/2017 14:58:17,ZIM,2,4,13,2,B,132,B,132,29,No
5/24/2017 14:46:41,ZIM,2,4,13,3,B,132,B,132,28,No
5/24/2017 14:47:54,ZIM,2,4,13,4,B,132,B,132,33,No
5/24/2017 14:49:55,ZIM,2,4,13,5,B,132,B,133,35,No
5/24/2017 14:51:18,ZIM,2,4,13,6,B,133,B,133,33,No
5/24/2017 14:51:56,ZIM,2,4,14,1,B,133,B,141,30,No
5/24/2017 14:52:31,ZIM,2,4,14,2,B,146,B,162,35,No
5/24/2017 14:53:04,ZIM,2,4,14,3,B,162,B,165,30,No
5/24/2017 14:53:39,ZIM,2,4,14,4,B,165,B,171,32,No
5/24/2017 14:54:21,ZIM,2,4,14,5,B,171,B,171,35,No
5/24/2017 14:55:28,ZIM,2,4,14,6,B,171,B,171,28,No
5/24/2017 14:56:10,ZIM,2,5,1,1,B,173,B,178,30,No
5/24/2017 14:56:39,ZIM,2,5,1,2,B,178,B,187,28,No
5/24/2017 14:59:02,ZIM,2,5,1,3,B,187,B,187.5,31,No
5/24/2017 15:00:40,ZIM,2,5,1,4,B,187.5,B,188,27,No
5/24/2017 15:01:15,ZIM,2,5,1,5,B,188,B,223,26,No
5/24/2017 15:01:46,ZIM,2,5,1,6,B,223,B,288,24,No
5/24/2017 15:02:16,ZIM,2,5,2,1,B,288,B,316,35,No
5/24/2017 15:02:52,ZIM,2,5,2,2,B,316,B,317,34,No
5/24/2017 15:08:11,ZIM,2,5,2,3,B,317,B,358,31,No
5/24/2017 15:08:39,ZIM,2,5,2,4,B,358,B,358,33,No
5/24/2017 15:09:22,ZIM,2,5,2,5,B,358,B,366,28,No
5/24/2017 15:09:52,ZIM,2,5,2,6,B,366,B,378,30,No
5/24/2017 15:10:25,ZIM,2,5,3,1,B,378,B,382,29,No
5/24/2017 15:10:56,ZIM,2,5,3,2,B,382,B,387,23,No
5/24/2017 15:11:27,ZIM,2,5,3,3,B,387,B,395,32,No
5/24/2017 15:11:58,ZIM,2,5,3,4,B,395,B,395,30,No
5/24/2017 15:12:49,ZIM,2,5,3,5,B,395,B,395,28,No
5/24/2017 15:13:19,ZIM,2,5,3,6,B,395,B,395,25,No
5/24/2017 15:14:40,ZIM,2,5,4,1,B,395,B,395,27,No
5/24/2017 15:15:59,ZIM,2,5,4,2,B,395,B,398,28,No
5/24/2017 15:16:31,ZIM,2,5,4,3,B,398,B,398,28,No
5/24/2017 15:17:35,ZIM,2,5,4,4,B,398,B,407,26,No
5/24/2017 15:18:38,ZIM,2,5,4,5,B,407,B,407,33,No
5/24/2017 15:19:24,ZIM,2,5,4,6,B,415,B,430,28,No
5/24/2017 15:21:22,ZIM,2,5,5,1,B,430,B,434,30,No
5/24/2017 15:26:42,ZIM,2,5,5,2,B,434,B,434,33,No
5/24/2017 15:25:56,ZIM,2,5,5,3,B,434,B,443,29,No
5/24/2017 15:29:04,ZIM,2,5,5,4,B,443,B,485,31,No
5/24/2017 15:29:41,ZIM,2,5,5,5,B,485,B,485,33,No
5/24/2017 15:30:03,ZIM,2,5,5,6,B,485,B,485,29,No
5/24/2017 15:31:11,ZIM,2,5,6,1,B,491,B,491,32,No
5/24/2017 15:31:52,ZIM,2,5,6,2,B,491,B,505,32,No
5/24/2017 15:32:17,ZIM,2,5,6,3,B,505,B,517,29,No
5/24/2017 15:33:12,ZIM,2,5,6,4,B,571,B,528,30,No
5/24/2017 15:33:45,ZIM,2,5,6,5,B,528,B,553,30,No
5/24/2017 15:34:13,ZIM,2,5,6,6,B,553,B,577,31,No
5/24/2017 15:34:45,ZIM,2,5,7,1,B,577,B,618,24,No
5/24/2017 15:35:10,ZIM,2,5,7,2,B,720,B,655,33,No
5/24/2017 15:35:51,ZIM,2,5,7,3,B,655,B,659,31,No
5/24/2017 15:38:58,ZIM,2,5,7,4,B,659,B,589,35,No
5/24/2017 15:39:34,ZIM,2,5,7,5,B,689,B,693,30,No
5/24/2017 15:40:09,ZIM,2,5,7,6,B,693,B,693,30,No
5/24/2017 15:40:43,ZIM,2,5,8,1,B,697,B,721,32,No
5/24/2017 15:41:20,ZIM,2,5,8,2,B,721,B,721,29,No
5/24/2017 15:42:03,ZIM,2,5,8,3,B,721,B,721,32,No
5/24/2017 15:42:47,ZIM,2,5,8,4,B,721,B,734,28,No
5/24/2017 15:17:34,ZIM,2,5,8,5,B,734,B,741,36,No
5/24/2017 15:18:29,ZIM,2,5,8,6,B,741,B,741,36,No
5/24/2017 15:19:24,ZIM,2,5,9,1,B,743,B,751,28,No
